organization_type,policy_evolution_stage,compute_procurement_authority,storage_procurement_authority,budget_approval_threshold_usd,vendor_evaluation_process,compliance_requirements,cost_allocation_automation,resource_tagging_enforcement,cross_cloud_governance,reserved_capacity_strategy,spot_market_policy
traditional_enterprise,centralized_to_federated,it_procurement_office,it_procurement_office,50000,formal_rfp_process,high_compliance,manual_monthly,mandatory_comprehensive,single_cloud_focus,conservative_reserved,prohibited_spot
cloud_native_startup,decentralized_from_start,engineering_teams,engineering_teams,10000,vendor_trial_based,minimal_compliance,automated_realtime,basic_cost_tracking,multi_cloud_native,aggressive_spot,spot_first_policy
digital_transformation,hybrid_governance,shared_it_engineering,shared_it_engineering,25000,collaborative_evaluation,medium_compliance,semi_automated,environment_based,hybrid_cloud_strategy,balanced_approach,limited_spot_usage
fintech_regulated,compliance_driven,compliance_approved_vendors,compliance_approved_vendors,100000,security_first_evaluation,strict_compliance,automated_with_audit,comprehensive_compliance,regulated_cloud_only,compliance_reserved,restricted_spot
saas_scaling,growth_optimized,engineering_with_finance,engineering_with_finance,15000,performance_cost_evaluation,growth_compliance,cost_optimization_automated,usage_based_tagging,multi_cloud_arbitrage,dynamic_reserved,cost_optimized_spot
enterprise_manufacturing,traditional_to_cloud,it_infrastructure_team,it_infrastructure_team,75000,traditional_vendor_evaluation,industry_compliance,quarterly_reconciliation,department_asset_tracking,private_cloud_first,traditional_reserved,no_spot_policy
healthcare_system,security_compliance,hipaa_approved_procurement,hipaa_approved_procurement,200000,security_compliance_first,healthcare_compliance,compliance_automated,patient_data_classification,compliant_cloud_only,security_reserved,no_spot_allowed
media_streaming,performance_scaled,content_delivery_engineering,storage_engineering,30000,performance_throughput_evaluation,content_compliance,usage_pattern_automated,content_region_based,global_multi_cloud,peak_capacity_reserved,burst_spot_usage
retail_ecommerce,seasonal_optimized,platform_engineering,platform_engineering,40000,scalability_cost_evaluation,retail_compliance,seasonal_pattern_automated,customer_journey_based,retail_cloud_strategy,seasonal_reserved,peak_season_spot
gaming_studio,agile_procurement,game_development_teams,game_development_teams,20000,rapid_iteration_evaluation,gaming_compliance,real_time_cost_tracking,game_title_environment,multi_cloud_performance,launch_capacity_reserved,development_spot_heavy